Trenque Lauquen,30 de Agosto,9 de Julio,Carlos Casares,Carlos Tejedor,Casbas,Catriló,Daireaux,General Pico,Guaminí,Henderson,Pehuajó,Pellegrini,Quemu Quemu,Rivadavia,Saliqueló,Santa Rosa,Tres Lomas,Tres Algarrobos,Villegas
33442,4777,36494,15760,5178,4450,3995,12122,57669,2845,8645,31533,5115,3714,11685,7617,124101,8061,3201,21874
-1.0,49.0,185.0,-1.0,-1.0,95.7,-1.0,-1.0,-1.0,-1.0,-1.0,88.6,53.8,-1.0,66.7,-1.0,167.0,66.5,-1.0,-1.0
49.0,-1.0,-1.0,-1.0,-1.0,49,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.0,-1.0,-1.0
185.0,-1.0,-1.0,47.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,47.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75.4,-1.0,-1.0,62.1,-1.0,-1.0,-1.0,40.4,-1.0
95.7,49.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.1,-1.0,-1.0,-1.0,-1.0,-1.0,65.9,-1.0,72.9,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.7,46.9,-1.0,72.7,83.9,84.1,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,88.6,38.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.1,85.3,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,42.1,-1.0,88.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.2,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.3,-1.0,-1.0,-1.0,62.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
88.6,-1.0,-1.0,56.1,75.4,-1.0,-1.0,-1.0,-1.0,-1.0,62.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
53.8,-1.0,-1.0,-1.0,-1.0,-1.0,29.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72.7,-1.0,84,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.9,-1.0,51.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
66.7,-1.0,-1.0,-1.0,62.1,-1.0,-1.0,-1.0,85.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.5
-1.0,-1.0,-1.0,-1.0,-1.0,65.9,72.7,-1.0,-1.0,79.2,-1.0,-1.0,72.7,-1.0,-1.0,-1.0,-1.0,39.5,-1.0,-1.0
167.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
66.5,37,-1.0,-1.0,-1.0,72.9,84.1,-1.0,-1.0,-1.0,-1.0,-1.0,84,-1.0,-1.0,39.5,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,40.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.2
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.5,-1.0,-1.0,-1.0,30.2,-1.0
